trial_type,trial_index,time_elapsed,internal_node_id,subject_id,subject,condition,condition_vector,condition_name,success,timeout,failed_images,failed_audio,failed_video,rt,stimulus,response,images,cur_target,cur_target_image,cur_target_type,round_type,set,test_audio,choice,chosen_image,choices,chosen_images,chosen_items,chosen_audio_items,first_choice_location,chosen_images_in_order,chosen_audio_in_order,chosen_items_in_order,sample_num,chosen_index,chosen_audio,central_images
coact-grid-choice,40,166228,0.0-40.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,1723,,,"[""stims/images/manatee.png"",""stims/images/antelope.png"",""stims/images/tiger.png"",""stims/images/pangolin.png"",""stims/images/tarsier.png"",""stims/images/lobster.png"",""stims/images/elephant.png"",""stims/images/hippopotamus.png""]",,,,,1,,,stims/images/lobster.png,,,,,right,"[""stims/images/elephant.png"",""stims/images/lobster.png""]","[""stims/audio/thats_elephant.wav"",""stims/audio/thats_lobster.wav""]","[""elephant"",""lobster""]",4,0,stims/audio/thats_elephant.wav,"[""stims/images/lobster.png"",""stims/images/elephant.png""]"
coact-grid-choice-audio,41,169237,0.0-41.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,3000,,,,,,,,1,,,stims/images/lobster.png,,,,,right,,,,4,,stims/audio/thats_elephant.wav,
coact-grid,42,174607,0.0-42.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,4063,,,"[""stims/images/elephant.png"",""stims/images/lobster.png"",""stims/images/tarsier.png"",""stims/images/antelope.png"",""stims/images/manatee.png"",""stims/images/hippopotamus.png"",""stims/images/pangolin.png"",""stims/images/tiger.png""]",,,,,1,,,,"[1,5]","[""stims/images/lobster.png"",""stims/images/hippopotamus.png""]","[""lobster"",""hippopotamus""]","[""stims/audio/its_lobster.wav"",""stims/audio/its_hippopotamus.wav""]",right,"[""stims/images/hippopotamus.png"",""stims/images/lobster.png""]","[""stims/audio/its_hippopotamus.wav"",""stims/audio/its_lobster.wav""]","[""hippopotamus"",""lobster""]",5,,,
coact-grid-choice,43,176100,0.0-43.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,1491,,,"[""stims/images/elephant.png"",""stims/images/lobster.png"",""stims/images/tarsier.png"",""stims/images/antelope.png"",""stims/images/manatee.png"",""stims/images/hippopotamus.png"",""stims/images/pangolin.png"",""stims/images/tiger.png""]",,,,,1,,,stims/images/hippopotamus.png,,,,,right,"[""stims/images/hippopotamus.png"",""stims/images/lobster.png""]","[""stims/audio/its_hippopotamus.wav"",""stims/audio/its_lobster.wav""]","[""hippopotamus"",""lobster""]",5,1,stims/audio/its_lobster.wav,"[""stims/images/lobster.png"",""stims/images/hippopotamus.png""]"
coact-grid-choice-audio,44,179108,0.0-44.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,3000,,,,,,,,1,,,stims/images/hippopotamus.png,,,,,right,,,,5,,stims/audio/its_lobster.wav,
html-button-response,45,192204,0.0-45.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,13096,,0,,,,,,,,,,,,,,,,,,,,,
coact-test-prompt,46,194281,0.0-46.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,2076,,,"[""stims/images/cow.png"",""stims/images/squirrel.png"",""stims/images/duck.png"",""stims/images/frog.png"",""stims/images/cat.png"",""stims/images/horse.png"",""stims/images/butterfly.png"",""stims/images/wolf.png""]",duck,stims/images/duck.png,familiar,practice_posttest,familiar,,,,,,,,,,,,,,,
coact-test,47,199285,0.0-47.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,209409.232,,,"[""stims/images/cow.png"",""stims/images/squirrel.png"",""stims/images/duck.png"",""stims/images/frog.png"",""stims/images/cat.png"",""stims/images/horse.png"",""stims/images/butterfly.png"",""stims/images/wolf.png""]",duck,stims/images/duck.png,familiar,practice_posttest,familiar,stims/audio/wheres_duck.wav,2,stims/images/duck.png,,,,,,,,,,,,
coact-test-prompt,48,200744,0.0-48.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,1458,,,"[""stims/images/horse.png"",""stims/images/wolf.png"",""stims/images/cow.png"",""stims/images/frog.png"",""stims/images/butterfly.png"",""stims/images/cat.png"",""stims/images/duck.png"",""stims/images/squirrel.png""]",cat,stims/images/cat.png,familiar,practice_posttest,familiar,,,,,,,,,,,,,,,
coact-test,49,204112,0.0-49.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,214230.7707,,,"[""stims/images/horse.png"",""stims/images/wolf.png"",""stims/images/cow.png"",""stims/images/frog.png"",""stims/images/butterfly.png"",""stims/images/cat.png"",""stims/images/duck.png"",""stims/images/squirrel.png""]",cat,stims/images/cat.png,familiar,practice_posttest,familiar,stims/audio/wheres_cat.wav,5,stims/images/cat.png,,,,,,,,,,,,
coact-test-prompt,50,205871,0.0-50.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,1757,,,"[""stims/images/antelope.png"",""stims/images/elephant.png"",""stims/images/lobster.png"",""stims/images/tarsier.png"",""stims/images/manatee.png"",""stims/images/pangolin.png"",""stims/images/tiger.png"",""stims/images/hippopotamus.png""]",antelope,stims/images/antelope.png,somewhat unfamiliar,posttest,1,,,,,,,,,,,,,,,
